# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 6f53c942a634cd28729b86faad146a950ebd5d0fa6c6b28a45c3ede1acecb565
# retrieved: 2026-08-24T22:47:57Z
iata,name,latitude_deg,longitude_deg,iso_country,municipality,type,scheduled_service
AAA,Anaa Airport,-17.352600,-145.509995,PF,Anaa,medium_airport,yes
AAC,El Arish International Airport,31.055324,33.827964,EG,El Arish,large_airport,yes
AAE,Annaba Rabah Bitat Airport,36.826781,7.813340,DZ,Annaba,large_airport,yes
AAK,Aranuka Airport,0.185278,173.636993,KI,Buariki,small_airport,yes
AAL,Aalborg Airport,57.094763,9.849930,DK,Aalborg,large_airport,yes
AAN,Al Ain International Airport,24.261700,55.609200,AE,Al Ain,large_airport,yes
AAP,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,ID,Samarinda,medium_airport,yes
AAR,Aarhus Airport,56.303331,10.618286,DK,Aarhus,large_airport,yes
AAT,Altay Xuedu Airport,47.749886,88.085808,CN,Altay,medium_airport,yes
AAX,Romeu Zema Airport,-19.563200,-46.960400,BR,Araxá,medium_airport,yes
AAY,Al Ghaydah International Airport,16.193341,52.174186,YE,Al Ghaydah,medium_airport,yes
AAZ,Quezaltenango Airport,14.865600,-91.501999,GT,Quezaltenango,small_airport,yes
ABA,Abakan International Airport,53.740002,91.385002,RU,Abakan,large_airport,yes
ABB,Asaba International Airport,6.204167,6.665278,NG,Asaba,large_airport,yes
ABD,Abadan Ayatollah Jami International Airport,30.367887,48.230075,IR,Abadan,large_airport,yes
ABE,Lehigh Valley International Airport,40.651773,-75.442797,US,Allentown/Bethlehem,medium_airport,yes
ABI,Abilene Regional Airport,32.411301,-99.681900,US,Abilene,medium_airport,yes
ABJ,Félix-Houphouët-Boigny International Airport,5.261390,-3.926290,CI,Abidjan,large_airport,yes
ABK,Kebri Dahar Airport,6.732577,44.241339,ET,Kebri Dahar,medium_airport,yes
ABL,Ambler Airport,67.105529,-157.855339,US,Ambler,medium_airport,yes
ABM,Northern Peninsula Airport,-10.946194,142.455081,AU,Bamaga,small_airport,yes
ABQ,Albuquerque International Sunport,35.039976,-106.608925,US,Albuquerque,large_airport,yes
ABR,Aberdeen Regional Airport,45.449100,-98.421799,US,Aberdeen,medium_airport,yes
ABS,Abu Simbel Airport,22.375924,31.611734,EG,Abu Simbel,medium_airport,yes
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,20.298506,41.636153,SA,Al-Baha,medium_airport,yes
ABU,AA Bere Tallo (Haliwen) Airport,-9.074841,124.903285,ID,Atambua,small_airport,yes
ABV,Nnamdi Azikiwe International Airport,9.006790,7.263170,NG,Abuja,large_airport,yes
ABX,Albury Airport,-36.066758,146.959148,AU,East Albury,medium_airport,yes
ABY,Southwest Georgia Regional Airport,31.532946,-84.196215,US,Albany,medium_airport,yes
