# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
AAA,NTGA,medium_airport,Anaa Airport,-17.352600,-145.509995,PF,PF-U-A,Anaa,yes
AAB,YARY,small_airport,Arrabury Airport,-26.696390,141.048718,AU,AU-QLD,Tanbar,no
AAC,HEAR,large_airport,El Arish International Airport,31.055324,33.827964,EG,EG-SIN,El Arish,yes
AAD,AAD,small_airport,Adado Airport,6.095802,46.637500,SO,SO-GA,Adado,no
AAE,DABB,large_airport,Annaba Rabah Bitat Airport,36.826781,7.813340,DZ,DZ-23,Annaba,yes
AAF,KAAF,small_airport,Apalachicola Regional Airport,29.727501,-85.027496,US,US-FL,Apalachicola,no
AAH,EDKA,small_airport,Aachen-Merzbrück Airport,50.823055,6.186389,DE,DE-NW,Aachen,no
AAI,BR-2149,small_airport,Arraias Airport,-13.025154,-46.884107,BR,BR-TO,Arraias,no
AAJ,SMCA,small_airport,Cayana Airstrip,3.898681,-55.577907,SR,SR-SI,Awaradam,no
AAK,NGUK,small_airport,Aranuka Airport,0.185278,173.636993,KI,KI-G,Buariki,yes
AAL,EKYT,large_airport,Aalborg Airport,57.094763,9.849930,DK,DK-81,Aalborg,yes
AAM,FAMD,medium_airport,Malamala Airport,-24.816866,31.544085,ZA,ZA-MP,Malamala,no
AAN,OMAL,large_airport,Al Ain International Airport,24.261700,55.609200,AE,AE-AZ,Al Ain,yes
AAO,SVAN,medium_airport,Anaco Airport,9.430225,-64.470726,VE,VE-B,Anaco,no
AAP,WALS,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,ID,ID-KI,Samarinda,yes
AAQ,URKA,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,RU,RU-KDA,Krasnyi Kurgan,no
AAR,EKAH,large_airport,Aarhus Airport,56.303331,10.618286,DK,DK-82,Aarhus,yes
AAS,ID-AAS,small_airport,Apalapsili Airport,-3.882495,139.310932,ID,ID-PP,Apalapsili,no
AAT,ZWAT,medium_airport,Altay Xuedu Airport,47.749886,88.085808,CN,CN-65,Altay,yes
AAU,NSAU,small_airport,Asau Airport,-13.505132,-172.627888,WS,WS-VS,Asau,no
AAV,RPMA,medium_airport,Allah Valley Airport,6.367903,124.752431,PH,PH-SCO,Surallah,no
AAX,SBAX,medium_airport,Romeu Zema Airport,-19.563200,-46.960400,BR,BR-MG,Araxá,yes
AAY,OYGD,medium_airport,Al Ghaydah International Airport,16.193341,52.174186,YE,YE-MR,Al Ghaydah,yes
AAZ,MGQZ,small_airport,Quezaltenango Airport,14.865600,-91.501999,GT,GT-QZ,Quezaltenango,yes
ABA,UNAA,large_airport,Abakan International Airport,53.740002,91.385002,RU,RU-KK,Abakan,yes
ABB,DNAS,large_airport,Asaba International Airport,6.204167,6.665278,NG,NG-DE,Asaba,yes
ABC,LEAB,medium_airport,Albacete Airport / Los Llanos Air Base,38.948502,-1.863520,ES,ES-CM,Albacete,no
ABD,OIAA,large_airport,Abadan Ayatollah Jami International Airport,30.367887,48.230075,IR,IR-06,Abadan,yes
ABE,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,US,US-PA,Allentown/Bethlehem,yes
ABF,NGAB,small_airport,Abaiang Airport,1.798610,173.041000,KI,KI-G,Abaiang,no
ABG,YABI,small_airport,Abingdon Downs Airport,-17.608814,143.183531,AU,AU-QLD,Abingdon Downs,no
ABH,YAPH,small_airport,Alpha Airport,-23.652849,146.582668,AU,AU-QLD,Alpha,no
ABI,KABI,medium_airport,Abilene Regional Airport,32.411301,-99.681900,US,US-TX,Abilene,yes
ABJ,DIAP,large_airport,Félix-Houphouët-Boigny International Airport,5.261390,-3.926290,CI,CI-AB,Abidjan,yes
ABK,HAKD,medium_airport,Kebri Dahar Airport,6.732577,44.241339,ET,ET-SO,Kebri Dahar,yes
ABL,PAFM,medium_airport,Ambler Airport,67.105529,-157.855339,US,US-AK,Ambler,yes
ABM,YNPE,small_airport,Northern Peninsula Airport,-10.946194,142.455081,AU,AU-QLD,Bamaga,yes
ABN,SMBN,small_airport,Albina Airport,5.512720,-54.050098,SR,SR-MA,Albina,no
ABO,DIAO,small_airport,Aboisso Airport,5.461944,-3.234722,CI,CI-CM,Aboisso,no
