# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: iata-city-codes
# url: https://raw.githubusercontent.com/lxndrblz/Airports/d1907e811e38a141a3ccace73527248a19ba11af/citycodes.csv
# sha256: ef1951615642fce580ff52f40c5edd97bfbe2b157f3310b471196e000ced8148
# retrieved: 2026-08-21T03:15:50Z
iata,name,iso_country
BAK,Baku Metropolitan Area,AZ
BHZ,Belo Horizonte Metropolitan Area,BR
BJS,Beijing Metropolitan Area,CN
BUE,Buenos Aires Metropolitan Area,AR
BUH,Bucharest Metropolitan Area,RO
DTT,Detroit Metropolitan Area,US
IZM,Izmir Metropolitan Area,TR
JKT,Jakarta Metropolitan Area,ID
LON,London Metropolitan Area,GB
MIL,Mailand Metropolitan Area,IT
MOW,Moscow,RU
NCP,Luzon Metropolitan Area,PH
NYC,New York Metropolitan Area,US
OSA,Osaka Metropolitan Area,JP
PAR,Paris Metropolitan Area,FR
REK,Reykjavik Metropolitan Area,IS
RIO,Rio de Janeiro Metropolitan Area,BR
ROM,Rome Metropolitan Area,IT
SAO,Sao Paulo Metropolitan Area,BR
SDZ,Shetland Islands Metropolitan Area,GB
SEL,Seoul Metropolitan Area,KR
STO,Stockholm Metropolitan Area,SE
TYO,Tokyo Metropolitan Area,JP
WAS,Washington D.C. Metropolitan Area,US
YEA,Edmonton Metropolitan Area,CA
YMQ,Montreal Metropolitan Area,CA
YTO,Toronto Metropolitan Area,CA
